index,singular_value
358,1.7965988345965409e+03
359,1.7944737316702854e+03
360,1.7938494838379138e+03
361,1.7925038490302820e+03
362,1.7910735973386882e+03
363,1.7904425424263948e+03
364,1.7891068728002074e+03
365,1.7884072154267471e+03
366,1.7874369266011417e+03
367,1.7871244679627853e+03
368,1.7860247877693150e+03
369,1.7838772518444648e+03
370,1.7835501927293533e+03
371,1.7827709338712923e+03
372,1.7819275677391770e+03
373,1.7799676718664766e+03
374,1.7786617559933852e+03
375,1.7780693142283678e+03
376,1.7767812871501533e+03
377,1.7761948562407213e+03
378,1.7754213069768218e+03
379,1.7734997131718428e+03
380,1.7728818578688995e+03
381,1.7710410608399013e+03
382,1.7698847616892174e+03
383,1.7687055370574874e+03
384,1.7674356046065177e+03
385,1.7661165119349614e+03
386,1.7657849378368003e+03
387,1.7649872423245670e+03
388,1.7634740836184144e+03
389,1.7606409333070960e+03
390,1.7600777916364671e+03
391,1.7596646606004656e+03
392,1.7587434857068995e+03
393,1.7582716246200655e+03
394,1.7565941867576707e+03
395,1.7552890870854376e+03
396,1.7542321754829256e+03
397,1.7535365428350042e+03
398,1.7521538975801764e+03
399,1.7517579760514013e+03
400,1.7511041758373790e+03
401,1.7498348285190848e+03
402,1.7482463652684755e+03
403,1.7476783836168959e+03
404,1.7460033377874436e+03
405,1.7451441396447697e+03
406,1.7442045529919305e+03
407,1.7420735169843163e+03
408,1.7415035985898487e+03
409,1.7403775754482961e+03
410,1.7399916430379335e+03
411,1.7392401730106874e+03
412,1.7380197468185559e+03
413,1.7369129620376564e+03
414,1.7348628971375931e+03
415,1.7337093546723775e+03
416,1.7331411886503640e+03
417,1.7324527846304218e+03
418,1.7304236056340874e+03
419,1.7298860169728789e+03
420,1.7292863723679561e+03
421,1.7281455993307329e+03
422,1.7270683528959935e+03
423,1.7266876712134529e+03
424,1.7248123884030856e+03
425,1.7231527293058086e+03
426,1.7219596981079458e+03
427,1.7215654998918772e+03
428,1.7202013336745117e+03
429,1.7199570208373111e+03
430,1.7181121040605608e+03
431,1.7179301078094563e+03
432,1.7169687263230667e+03
433,1.7162562935356118e+03
434,1.7143659704323882e+03
435,1.7134792032164296e+03
436,1.7123384196724128e+03
437,1.7112421825442425e+03
438,1.7107591164166524e+03
439,1.7097767915932041e+03
440,1.7089819636396269e+03
441,1.7072393367364989e+03
442,1.7062322378251777e+03
443,1.7050341161136544e+03
444,1.7040245898192995e+03
445,1.7031131829565768e+03
446,1.7026017879982105e+03
447,1.7005725127423739e+03
448,1.6997963136515632e+03
449,1.6990012244893560e+03
450,1.6969317044351158e+03
451,1.6959876477132129e+03
452,1.6946004125564543e+03
453,1.6932967236278048e+03
454,1.6901675129656901e+03
455,1.6895754259417299e+03
456,1.6875314726922898e+03
457,1.6870408099599695e+03
458,1.6857189892507347e+03
459,1.6854444864139537e+03
460,1.6838419649046718e+03
461,1.6824506245537050e+03
462,1.6817850733530847e+03
463,1.6796257693911662e+03
464,1.6787953732936987e+03
465,1.6778693325773604e+03
466,1.6764663325528170e+03
467,1.6758677747979114e+03
468,1.6747093801663425e+03
469,1.6727117021652546e+03
470,1.6721665686575363e+03
471,1.6708043818807539e+03
472,1.6699951900237172e+03
473,1.6694746019588097e+03
474,1.6673976755157639e+03
475,1.6652277288394678e+03
476,1.6642753667945969e+03
477,1.6615401217071978e+03
478,1.6603093843554520e+03
479,1.6593829148497141e+03
480,1.6576765204549581e+03
481,1.6553907450794911e+03
482,1.6542106932941747e+03
483,1.6530172741560236e+03
484,1.6516229754174490e+03
485,1.6507706725388289e+03
486,1.6481704181272460e+03
487,1.6444991795234862e+03
488,1.6441421546029278e+03
489,1.6431843311557400e+03
490,1.6406847062146965e+03
491,1.6397152826842766e+03
492,1.6389853257008147e+03
493,1.6382318569730339e+03
494,1.6343802422522681e+03
495,1.6329796802412343e+03
496,1.6318652249520082e+03
497,1.6288439720000442e+03
498,1.6253829724009443e+03
499,1.6201055777591539e+03
500,1.6185138628125173e+03
